iter	F1	Logloss
0	0.7067298507	0.6680996893
1	0.6998287883	0.6559388381
2	0.7054134151	0.6388511235
3	0.7367993046	0.621544386
4	0.7357102677	0.6106407829
5	0.7628792947	0.6004738595
6	0.7567779475	0.5926792147
7	0.7701694388	0.5804709246
8	0.7778384603	0.5700317401
9	0.7803376707	0.5630159042
10	0.7827899122	0.5544818837
11	0.7753203452	0.5423610979
12	0.7774310219	0.5349875599
13	0.7790633418	0.5289118484
14	0.7765458864	0.5251061687
15	0.7790633418	0.5206289045
16	0.8015953986	0.5146064357
17	0.8028438394	0.5105776718
18	0.8016964789	0.5049767189
19	0.804514489	0.501645518
20	0.8081525592	0.496733456
21	0.808572287	0.4925732907
22	0.811354582	0.4878634851
23	0.8121955337	0.4849208765
24	0.8179178757	0.4800683067
25	0.825948368	0.4765925971
26	0.8246699282	0.4719251285
27	0.8227915062	0.4685391853
28	0.8227915062	0.4637616205
29	0.8308010105	0.4598891254
30	0.8427168074	0.4558062874
31	0.8396222827	0.4518180513
32	0.8347860059	0.4485782408
33	0.8308010105	0.4456734892
34	0.8409881015	0.4428284105
35	0.8449287775	0.4410571708
36	0.8466627416	0.4355934222
37	0.8558289479	0.432472722
38	0.8584234393	0.4290154167
39	0.8593008612	0.426160775
40	0.8666412981	0.4217853717
41	0.8679670636	0.4162807044
42	0.8727301982	0.412956301
43	0.8736206197	0.410323474
44	0.8701857098	0.4085386486
45	0.8722856678	0.4058458784
46	0.8761488756	0.4027371411
47	0.8770408786	0.3999772088
48	0.8808940431	0.3978386756
49	0.8788303448	0.3950255602
50	0.8776501047	0.3933831226
51	0.8819795445	0.3894908003
52	0.8815282777	0.3881267598
53	0.8815282777	0.3856495204
54	0.8810774725	0.3828584457
55	0.8828834655	0.3804186942
56	0.8858463205	0.3768193294
57	0.8858463205	0.3745642868
58	0.8892467745	0.3712569864
59	0.8926327288	0.368677763
60	0.8897005108	0.3673451359
61	0.8921786987	0.3654976678
62	0.8935421767	0.3634909536
63	0.893997596	0.3608755362
64	0.8949098286	0.358928672
65	0.8944534797	0.3575408259
66	0.8910645023	0.3553671314
67	0.890609374	0.3536234866
68	0.8867527231	0.3496981119
69	0.893997596	0.3462364371
70	0.891520096	0.3440606593
71	0.8919761558	0.3424200234
72	0.8962816736	0.3395289599
73	0.897198576	0.3378033603
74	0.897198576	0.3357280935
75	0.9005775684	0.3334700125
76	0.897657731	0.3322443798
77	0.8990380201	0.3300442617
78	0.8981173562	0.3270925107
79	0.8994990603	0.3245826559
80	0.9038067504	0.3228205722
81	0.9018113722	0.3195713476
82	0.9008850223	0.3166536698
83	0.9099671858	0.3116445187
84	0.9104339793	0.3094993919
85	0.9152702431	0.3070244276
86	0.9157370322	0.3037260767
87	0.9214461173	0.3008124153
88	0.92097889	0.2973237239
89	0.921913819	0.2947454188
90	0.9256833163	0.2913381043
91	0.9270927378	0.2887246744
92	0.9327147401	0.2873477596
93	0.9322440824	0.284930681
94	0.9363969712	0.2823198241
95	0.9326858033	0.2788768593
96	0.9382781313	0.2766451129
97	0.9373366074	0.2749118105
98	0.9410381334	0.2720207971
99	0.9382781313	0.2697149292
100	0.9452005727	0.2679806452
101	0.942454439	0.2649285133
102	0.9429274887	0.2630068201
103	0.9448244459	0.2610055345
104	0.9470962018	0.2579707431
105	0.9470962018	0.25490631
106	0.9494764575	0.2526409142
107	0.9494764575	0.2507668013
108	0.9512557724	0.2488733614
109	0.9512557724	0.2466607286
110	0.9507795907	0.245209071
111	0.9522095683	0.2426717331
112	0.9568423104	0.2401939541
113	0.9541229097	0.2394609843
114	0.9568423104	0.2371245004
115	0.9595476062	0.2347444921
116	0.9609883305	0.2331160373
117	0.9609883305	0.2318688043
118	0.9619512193	0.2301676368
119	0.9629160396	0.2286694669
120	0.966574961	0.2264197447
121	0.9670591583	0.2243600629
122	0.9670591583	0.2218922415
123	0.9670591583	0.2210920632
124	0.9675438409	0.219214123
125	0.9675438409	0.2171461547
126	0.9680290096	0.2150345406
127	0.9685146651	0.2130640395
128	0.9690008082	0.2116641964
129	0.9690008082	0.2098965308
130	0.9711931987	0.2083427828
131	0.9721661278	0.2060654685
132	0.9721661278	0.2049880115
133	0.9721661278	0.2031258633
134	0.9721661278	0.2020875398
135	0.9731410082	0.2006734302
136	0.973629182	0.1990647611
137	0.973629182	0.1971629989
138	0.9741178458	0.1948816917
139	0.9750966464	0.193577843
140	0.97678291	0.1922458242
141	0.977272128	0.1906224912
142	0.9782520356	0.1892335947
143	0.9804132008	0.1880328001
144	0.9823771592	0.186633503
145	0.9823771592	0.1853057675
146	0.9823771592	0.1844539551
147	0.9843490018	0.1826394158
148	0.9858330863	0.1806263196
149	0.9868249647	0.1796218788
150	0.9858330863	0.1784866645
151	0.9863287761	0.1773663155
152	0.9858330863	0.1758428949
153	0.9868249647	0.1743850467
154	0.9873216527	0.1732367314
155	0.9873216527	0.1716853789
156	0.9873216527	0.1708901496
157	0.9878188409	0.1691859168
158	0.9878188409	0.1682710664
159	0.9888147212	0.1668225156
160	0.9888147212	0.1653756347
161	0.9888147212	0.1640665024
162	0.9888147212	0.1630102182
163	0.9888147212	0.1615723131
164	0.9888147212	0.1599783137
165	0.9888147212	0.1591926814
166	0.9888147212	0.1577721961
167	0.9888147212	0.1565815968
168	0.9888147212	0.1556457365
169	0.9898126115	0.1541385845
170	0.9898126115	0.1533746221
171	0.9898126115	0.152238275
172	0.9898126115	0.1513960409
173	0.9898126115	0.1503492411
174	0.9898126115	0.1493918598
175	0.9903123123	0.1480982958
176	0.9898126115	0.1468928429
177	0.9898126115	0.145851141
178	0.9903123123	0.1452707292
179	0.992450931	0.1439971319
180	0.9929506545	0.1430261519
181	0.9929506545	0.1425120539
182	0.9934508815	0.1413705016
183	0.9934508815	0.1400765235
184	0.9934508815	0.1390188159
185	0.9934508815	0.1379679057
186	0.9929506545	0.1371164046
187	0.9939516128	0.135573464
188	0.9939516128	0.1344767367
189	0.9939516128	0.1336082113
190	0.9939516128	0.1326455588
191	0.9939516128	0.1321549707
192	0.9944528492	0.1310343075
193	0.9944528492	0.1301185987
194	0.9939516128	0.1294272204
195	0.9944528492	0.1286470939
196	0.9944528492	0.1279028133
197	0.9939516128	0.1269132509
198	0.9939516128	0.1263326941
199	0.9939516128	0.1257230151
200	0.9934508815	0.1245889374
201	0.9934508815	0.1237342432
202	0.9934508815	0.1229026617
203	0.9934508815	0.122241631
204	0.9934508815	0.1213665823
205	0.9939516128	0.1206223219
206	0.9944528492	0.1198959382
207	0.9944528492	0.1191148262
208	0.9944528492	0.1181962827
209	0.9949545913	0.1173259742
210	0.9944528492	0.1166182672
211	0.9949545913	0.115817485
212	0.9944528492	0.1149592663
213	0.9949545913	0.1140169271
214	0.9954568399	0.1134127621
215	0.9954568399	0.1127401442
216	0.9954568399	0.1119594127
217	0.9954568399	0.1112885453
218	0.9954568399	0.1106165462
219	0.9954568399	0.1097229909
220	0.9954568399	0.1090801731
221	0.9954568399	0.1085553001
222	0.9959595959	0.1077503856
223	0.99646286	0.1070040482
224	0.99646286	0.1063064531
225	0.9969666329	0.105671942
226	0.9969666329	0.1050239568
227	0.9969666329	0.1042037976
228	0.9969666329	0.103595663
229	0.9969666329	0.1028614344
230	0.9969666329	0.1019300926
231	0.9969666329	0.1008877211
232	0.9969666329	0.1003948175
233	0.9969666329	0.09987633139
234	0.9969666329	0.09935781418
235	0.9969666329	0.0987699477
236	0.9974709155	0.09772850384
237	0.9979757085	0.09703922398
238	0.9979757085	0.09647995367
239	0.9984810126	0.09617159494
240	0.9984810126	0.09561138237
241	0.9984810126	0.09507065777
242	0.9984810126	0.0945888634
243	0.9984810126	0.09383483045
244	0.9984810126	0.09330647427
245	0.9984810126	0.09287245173
246	0.9989868288	0.09224834086
247	0.9989868288	0.09168743829
248	0.9994931576	0.09080541983
249	0.9994931576	0.09050794574
250	0.9994931576	0.08996800635
251	0.9994931576	0.08941248329
252	0.9994931576	0.08876404768
253	0.9994931576	0.08806535214
254	0.9994931576	0.0876036112
255	0.9994931576	0.08696846174
256	0.9994931576	0.08645927638
257	0.9994931576	0.08573145641
258	0.9994931576	0.08523844131
259	0.9994931576	0.08464368866
260	0.9994931576	0.08434382506
261	0.9994931576	0.08383512418
262	1	0.08318193119
263	1	0.08263164268
264	1	0.08220446215
265	0.9994931576	0.08183529758
266	1	0.08139524372
267	1	0.08058409991
268	1	0.07990595158
269	1	0.07917451204
270	1	0.07870727148
271	1	0.07807304458
272	1	0.07739017376
273	1	0.07716206392
274	1	0.07685196913
275	1	0.07621491138
276	1	0.0757423582
277	1	0.07536579293
278	1	0.07499978176
279	1	0.07458579347
280	1	0.07426241908
281	1	0.07387060604
282	1	0.07349982668
283	1	0.07314233518
284	1	0.07271454957
285	1	0.0722100631
286	1	0.07164637647
287	1	0.07103197599
288	1	0.07063540681
289	1	0.0702273482
290	1	0.0698137627
291	1	0.06936038139
292	1	0.06876375222
293	1	0.06845570113
294	1	0.06811254524
295	1	0.06766107911
296	1	0.06739914454
297	1	0.06718714486
298	1	0.06682329351
299	1	0.06641676306
300	1	0.06590964686
301	1	0.06559863889
302	1	0.06526463243
303	1	0.06479729254
304	1	0.06451595321
305	1	0.06424033954
306	1	0.06387356656
307	1	0.06350581526
308	1	0.06305913394
309	1	0.06263565551
310	1	0.0619271245
311	1	0.06168852413
312	1	0.06137605659
313	1	0.0610604543
314	1	0.06071667149
315	1	0.060446919
316	1	0.06007648639
317	1	0.05972296942
318	1	0.05933960669
319	1	0.05915084669
320	1	0.05882705043
321	1	0.05841815412
322	1	0.05810588786
323	1	0.05782157457
324	1	0.05741700169
325	1	0.05700040918
326	1	0.05671449683
327	1	0.05643185289
328	1	0.05626057845
329	1	0.05603481784
330	1	0.05561645042
331	1	0.05522161264
332	1	0.05488982707
333	1	0.05461709486
334	1	0.0543884457
335	1	0.05396445762
336	1	0.05338060493
337	1	0.05320166544
338	1	0.05300999093
339	1	0.05274643673
340	1	0.05249441468
341	1	0.05227275688
342	1	0.05200129763
343	1	0.05175440716
344	1	0.05134634401
345	1	0.05103451467
346	1	0.05061760095
347	1	0.05030557217
348	1	0.04993306865
349	1	0.04974994748
350	1	0.04947880814
351	1	0.04924335616
352	1	0.04918766185
353	1	0.04891874395
354	1	0.04863967261
355	1	0.04847112479
356	1	0.04811937888
357	1	0.04799807556
358	1	0.04773662801
359	1	0.04754907572
360	1	0.04730725053
361	1	0.04700232203
