iter	Passed	Remaining
0	2	953
1	4	924
2	6	913
3	9	892
4	11	879
5	13	869
6	15	848
7	17	846
8	19	837
9	21	846
10	23	841
11	25	838
12	28	836
13	30	827
14	32	828
15	34	828
16	37	839
17	39	840
18	41	841
19	44	842
20	46	843
21	49	844
22	51	842
23	54	848
24	56	849
25	59	849
26	61	851
27	64	852
28	66	851
29	69	855
30	71	856
31	74	855
32	77	859
33	79	858
34	82	858
35	85	861
36	87	861
37	90	859
38	92	858
39	95	856
40	97	854
41	100	856
42	103	856
43	105	855
44	108	854
45	110	852
46	113	850
47	116	851
48	118	850
49	121	847
50	123	846
51	126	844
52	128	842
53	131	842
54	134	841
55	136	838
56	139	837
57	141	834
58	144	832
59	146	831
60	149	830
61	151	828
62	154	826
63	157	825
64	159	823
65	162	822
66	165	821
67	167	819
68	170	817
69	173	815
70	175	814
71	178	812
72	181	812
73	187	828
74	192	835
75	197	840
76	200	843
77	204	843
78	207	843
79	210	842
80	213	840
81	216	838
82	218	834
83	221	833
84	224	831
85	226	828
86	229	826
87	231	821
88	233	817
89	235	812
90	238	808
91	240	804
92	242	801
93	245	799
94	248	798
95	251	795
96	253	792
97	256	790
98	259	788
99	262	786
100	264	784
101	267	781
102	270	779
103	272	776
104	276	775
105	279	773
106	281	771
107	284	769
108	287	767
109	290	765
110	293	763
111	295	761
112	298	758
113	301	755
114	303	753
115	306	750
116	309	749
117	313	748
118	316	746
119	318	744
120	321	742
121	325	741
122	328	739
123	331	737
124	334	735
125	337	732
126	339	730
127	342	728
128	345	726
129	348	723
130	352	723
131	356	724
132	359	721
133	364	723
134	368	722
135	373	725
136	376	723
137	379	720
138	382	718
139	386	717
140	388	714
141	391	711
142	394	708
143	397	705
144	399	703
145	403	701
146	406	698
147	409	696
148	411	693
149	414	690
150	417	688
151	420	686
152	424	684
153	427	682
154	429	679
155	432	677
156	435	674
157	438	671
158	441	668
159	443	665
160	446	662
161	449	660
162	452	657
163	455	655
164	458	652
165	460	649
166	463	646
167	466	644
168	469	641
169	472	638
170	474	636
171	477	633
172	480	630
173	483	627
174	486	625
175	490	623
176	492	621
177	496	619
178	499	616
179	502	614
180	506	612
181	508	609
182	513	609
183	516	606
184	519	603
185	522	600
186	524	597
187	531	599
188	535	597
189	538	594
190	541	592
191	544	590
192	547	587
193	550	584
194	552	581
195	555	577
196	558	575
197	561	573
198	564	570
199	567	567
200	570	564
201	573	562
202	576	559
203	579	556
204	582	554
205	585	551
206	588	548
207	591	546
208	594	543
209	597	540
210	600	537
211	603	535
212	606	532
213	609	529
214	612	527
215	615	524
216	625	527
217	627	524
218	630	521
219	633	517
220	635	515
221	639	512
222	645	512
223	648	509
224	651	506
225	655	504
226	658	501
227	660	498
228	663	495
229	666	492
230	670	490
231	674	488
232	677	485
233	679	482
234	682	479
235	685	476
236	687	473
237	690	469
238	692	466
239	695	463
240	699	461
241	702	458
242	705	455
243	708	452
244	710	449
245	714	446
246	717	444
247	719	441
248	723	438
249	726	435
250	730	433
251	733	430
252	735	427
253	738	424
254	741	421
255	743	418
256	746	415
257	749	412
258	752	409
259	754	406
260	757	403
261	760	400
262	763	397
263	766	394
264	769	391
265	772	388
266	774	385
267	778	383
268	780	380
269	783	377
270	786	374
271	789	371
272	793	368
273	796	366
274	799	363
275	801	360
276	804	357
277	807	354
278	810	351
279	813	348
280	815	345
281	818	342
282	820	339
283	824	336
284	826	333
285	829	330
286	832	327
287	835	324
288	838	322
289	841	319
290	843	316
291	846	313
292	849	310
293	851	307
294	854	304
295	857	301
296	860	298
297	863	295
298	865	292
299	868	289
300	871	286
301	874	283
302	877	280
303	880	277
304	882	274
305	885	271
306	888	269
307	890	266
308	893	263
309	896	260
310	899	257
311	902	254
312	905	251
313	908	248
314	910	245
315	913	242
316	916	239
317	918	236
318	921	233
319	924	231
320	926	228
321	929	225
322	931	222
323	934	219
324	937	216
325	939	213
326	942	210
327	945	207
328	948	204
329	951	201
330	953	198
331	956	195
332	959	193
333	962	190
334	964	187
335	967	184
336	970	181
337	972	178
338	975	175
339	978	172
340	981	169
341	983	166
342	986	163
343	989	161
344	991	158
345	994	155
346	997	152
347	1000	149
348	1002	146
349	1005	143
350	1008	140
351	1010	137
352	1013	135
353	1016	132
354	1019	129
355	1022	126
356	1024	123
357	1027	120
358	1030	117
359	1033	114
360	1036	111
361	1038	109
362	1041	106
363	1043	103
364	1046	100
365	1049	97
366	1051	94
367	1054	91
368	1057	88
369	1060	85
370	1062	83
371	1065	80
372	1068	77
373	1070	74
374	1073	71
375	1076	68
376	1079	65
377	1081	62
378	1084	60
379	1087	57
380	1089	54
381	1092	51
382	1095	48
383	1097	45
384	1100	42
385	1103	40
386	1105	37
387	1108	34
388	1111	31
389	1113	28
390	1116	25
391	1119	22
392	1121	19
393	1124	17
394	1127	14
395	1130	11
396	1132	8
397	1135	5
398	1137	2
399	1140	0
